siteid,lat,long,elev,year,trt,sampleinterval.plt,quadrat#,dayofyear.plt,totshtbiom,live.percent,dead.percent,gram.percent,forb.percent,shrub.percent,dayofyear.np,lfnppm,lfpppm,soilcppm,soilnppm
becca,44.908,-110.2629,1912.6,2012,gr,1,1,124,67.074,98.81,1.19,58.33333333,41.66666667,0,,,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,1,2,124,54.914,98.53,1.47,72.05882353,27.94117647,0,,,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,1,3,124,44.274,87.04,12.96,83.33333333,16.66666667,0,,,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,1,4,124,26.034,93.33,6.67,63.33333333,36.66666667,0,,,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,1,5,124,54.914,100,0,73.52941176,26.47058824,0,,,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,1,6,124,57.954,100,0,55.55555556,44.44444444,0,,,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,1,7,124,44.274,98.15,1.85,83.33333333,16.66666667,0,,,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,1,8,124,50.354,95.16,4.84,79.03225806,20.96774194,0,,,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,1,9,124,52.634,84.62,15.38,80,20,0,,,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,1,10,124,60.994,90.79,9.21,81.57894737,18.42105263,0,,,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,1,11,124,102.794,87.02,12.98,69.46564885,30.53435115,0,,,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,1,12,124,92.914,96.61,3.39,77.96610169,22.03389831,0,,,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,2,1,155,64.034,93.75,6.25,71.25,28.75,0,,,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,2,2,155,50.354,96.77,3.23,50,50,0,,,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,2,3,155,35.154,95.24,4.76,52.38095238,47.61904762,0,,,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,2,4,155,52.634,93.85,6.15,67.69230769,32.30769231,0,,,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,2,5,155,48.834,96.67,3.33,68.33333333,31.66666667,0,,,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,2,6,155,56.434,95.71,4.29,77.14285714,22.85714286,0,,,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,2,7,155,65.554,96.34,3.66,79.26829268,20.73170732,0,,,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,2,8,155,76.954,100,0,76.28865979,23.71134021,0,,,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,2,9,155,54.914,100,0,82.35294118,17.64705882,0,,,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,2,10,155,56.434,92.86,7.14,71.42857143,28.57142857,0,,,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,2,11,155,57.954,97.22,2.78,76.38888889,23.61111111,0,,,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,2,12,155,89.874,100,0,52.63157895,47.36842105,0,,,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,3,1,184,49.594,86.89,13.11,63.93442623,36.06557377,0,177,18014,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,3,2,184,47.314,77.59,22.41,65.51724138,34.48275862,0,177,18014,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,3,3,184,58.714,72.6,27.4,63.01369863,36.98630137,0,177,18014,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,3,4,184,57.954,81.94,18.06,76.38888889,23.61111111,0,177,18014,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,3,5,184,53.394,75.76,24.24,68.18181818,31.81818182,0,177,18014,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,3,6,184,71.634,78.89,21.11,62.22222222,37.77777778,0,177,18014,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,3,7,184,60.994,75,25,94.73684211,5.263157895,0,177,18014,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,3,8,184,59.474,81.08,18.92,78.37837838,21.62162162,0,177,18014,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,3,9,184,67.074,79.76,20.24,82.14285714,17.85714286,0,177,18014,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,3,10,184,61.754,74.03,25.97,67.53246753,32.46753247,0,177,18014,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,3,11,184,41.234,36,64,58,42,0,177,18014,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,3,12,184,68.594,66.28,33.72,81.39534884,18.60465116,0,177,18014,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,4,1,211,46.554,89.47,10.53,45.61403509,54.38596491,0,211,15985,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,4,2,211,69.354,70.11,29.89,85.05747126,14.94252874,0,211,15985,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,4,3,211,57.194,78.87,21.13,66.1971831,33.8028169,0,211,15985,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,4,4,211,57.194,85.92,14.08,84.50704225,15.49295775,0,211,15985,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,4,5,211,59.474,72.97,27.03,68.91891892,31.08108108,0,211,15985,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,4,6,211,80.754,76.47,23.53,87.25490196,12.74509804,0,211,15985,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,4,7,211,69.354,49.43,50.57,90.8045977,9.195402299,0,211,15985,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,4,8,211,57.194,60.56,39.44,84.50704225,15.49295775,0,211,15985,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,4,9,211,76.194,56.25,43.75,82.29166667,17.70833333,0,211,15985,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,4,10,211,67.834,67.06,32.94,65.88235294,34.11764706,0,211,15985,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,4,11,211,75.434,58.95,41.05,89.47368421,10.52631579,0,211,15985,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,4,12,211,69.354,78.16,21.84,77.01149425,22.98850575,0,211,15985,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,5,1,240,55.674,63.77,36.23,84.05797101,15.94202899,0,241,14837,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,5,2,240,45.034,65.45,34.55,74.54545455,25.45454545,0,241,14837,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,5,3,240,69.354,83.91,16.09,63.2183908,36.7816092,0,241,14837,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,5,4,240,87.594,63.96,36.04,84.68468468,15.31531532,0,241,14837,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,5,5,240,73.914,22.58,77.42,89.24731183,10.75268817,0,241,14837,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,5,6,240,60.234,56,44,74.32432432,25.67567568,0,241,14837,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,5,7,240,48.834,65,35,85,15,0,241,14837,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,5,8,240,85.314,65.74,34.26,77.77777778,22.22222222,0,241,14837,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,5,9,240,54.914,61.76,38.24,64.70588235,35.29411765,0,241,14837,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,5,10,240,57.954,55.56,44.44,65.27777778,34.72222222,0,241,14837,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,5,11,240,70.114,25,75,80.68181818,19.31818182,0,241,14837,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,5,12,240,109.634,23.57,76.43,97.14285714,2.857142857,0,241,14837,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,6,1,268,51.874,35.94,64.06,76.5625,23.4375,0,269,13358,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,6,2,268,46.554,47.37,52.63,56.14035088,43.85964912,0,269,13358,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,6,3,268,65.554,21.95,78.05,85.36585366,14.63414634,0,269,13358,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,6,4,268,102.034,33.85,66.15,83.84615385,16.15384615,0,269,13358,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,6,5,268,54.914,52.94,47.06,82.35294118,17.64705882,0,269,13358,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,6,6,268,66.314,28.92,71.08,89.15662651,10.84337349,0,269,13358,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,6,7,268,88.354,22.32,77.68,84.42622951,15.57377049,0,269,13358,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,6,8,268,84.554,29.91,70.09,97.19626168,2.803738318,0,269,13358,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,6,9,268,57.954,52.78,47.22,77.77777778,22.22222222,0,269,13358,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,6,10,268,55.674,50.72,49.28,79.71014493,20.28985507,0,269,13358,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,6,11,268,64.034,47.5,52.5,90,10,0,269,13358,,53000,5000
becca,44.908,-110.2629,1912.6,2012,gr,6,12,268,69.354,29.89,70.11,93.10344828,6.896551724,0,269,13358,,53000,5000
becca,44.908,-110.2629,1912.6,2013,gr,1,1,148,57.954,97.22,2.78,79.16666667,20.83333333,0,150,31459,3257,53000,5000
becca,44.908,-110.2629,1912.6,2013,gr,1,2,148,42.754,94.23,5.77,76.92307692,23.07692308,0,150,31459,3257,53000,5000
becca,44.908,-110.2629,1912.6,2013,gr,1,3,148,75.434,100,0,60,40,0,150,31459,3257,53000,5000
becca,44.908,-110.2629,1912.6,2013,gr,1,4,148,64.794,98.77,1.23,81.48148148,18.51851852,0,150,31459,3257,53000,5000
becca,44.908,-110.2629,1912.6,2013,gr,1,5,148,57.954,95.83,4.17,58.33333333,41.66666667,0,150,31459,3257,53000,5000
becca,44.908,-110.2629,1912.6,2013,gr,1,6,148,53.394,98.48,1.52,66.66666667,33.33333333,0,150,31459,3257,53000,5000
becca,44.908,-110.2629,1912.6,2013,gr,1,7,148,60.994,100,0,60.52631579,39.47368421,0,150,31459,3257,53000,5000
becca,44.908,-110.2629,1912.6,2013,gr,1,8,148,60.994,100,0,65.78947368,34.21052632,0,150,31459,3257,53000,5000
becca,44.908,-110.2629,1912.6,2013,gr,1,9,148,70.114,97.73,2.27,50,50,0,150,31459,3257,53000,5000
becca,44.908,-110.2629,1912.6,2013,gr,1,10,148,69.354,100,0,50.57471264,49.42528736,0,150,31459,3257,53000,5000
becca,44.908,-110.2629,1912.6,2013,gr,1,11,148,45.794,100,0,69.64285714,30.35714286,0,150,31459,3257,53000,5000
becca,44.908,-110.2629,1912.6,2013,gr,1,12,148,64.034,98.75,1.25,82.5,17.5,0,150,31459,3257,53000,5000
becca,44.908,-110.2629,1912.6,2013,gr,2,1,168,54.914,98.53,1.47,91.17647059,8.823529412,0,168,26405,3271,53000,5000
becca,44.908,-110.2629,1912.6,2013,gr,2,2,168,27.554,87.5,12.5,96.875,3.125,0,168,26405,3271,53000,5000
becca,44.908,-110.2629,1912.6,2013,gr,2,3,168,69.354,98.85,1.15,67.81609195,32.18390805,0,168,26405,3271,53000,5000
becca,44.908,-110.2629,1912.6,2013,gr,2,4,168,83.034,100,0,62.85714286,37.14285714,0,168,26405,3271,53000,5000
becca,44.908,-110.2629,1912.6,2013,gr,2,5,168,64.794,98.77,1.23,58.02469136,41.97530864,0,168,26405,3271,53000,5000
becca,44.908,-110.2629,1912.6,2013,gr,2,6,168,64.794,98.77,1.23,53.08641975,46.91358025,0,168,26405,3271,53000,5000
becca,44.908,-110.2629,1912.6,2013,gr,2,7,168,83.794,100,0,74.52830189,25.47169811,0,168,26405,3271,53000,5000
becca,44.908,-110.2629,1912.6,2013,gr,2,8,168,66.314,100,0,80.72289157,19.27710843,0,168,26405,3271,53000,5000
becca,44.908,-110.2629,1912.6,2013,gr,2,9,168,52.634,96.92,3.08,76.92307692,23.07692308,0,168,26405,3271,53000,5000
becca,44.908,-110.2629,1912.6,2013,gr,2,10,168,69.354,98.85,1.15,70.11494253,29.88505747,0,168,26405,3271,53000,5000
becca,44.908,-110.2629,1912.6,2013,gr,2,11,168,71.634,97.78,2.22,64.44444444,35.55555556,0,168,26405,3271,53000,5000
becca,44.908,-110.2629,1912.6,2013,gr,2,12,168,85.314,98.15,1.85,62.96296296,37.03703704,0,168,26405,3271,53000,5000
becca,44.908,-110.2629,1912.6,2013,gr,3,1,196,69.354,96.55,3.45,61.79775281,38.20224719,0,196,25277,2459,53000,5000
becca,44.908,-110.2629,1912.6,2013,gr,3,2,196,52.634,96.92,3.08,69.23076923,30.76923077,0,196,25277,2459,53000,5000
becca,44.908,-110.2629,1912.6,2013,gr,3,3,196,48.074,94.92,5.08,44.06779661,55.93220339,0,196,25277,2459,53000,5000
